ID,Title,Status,Review,# Reviews,OveMer,Abstract,Authors,Tags,CategoryLabel,ctgyorder,publish
19,Enhancing Neuronal Connectivity Inference with Cross-Correlograms and Interpretations from Learned Model Representations,Accepted,Primary,2,3 3,"A key challenge in computational neuroscience is to understand the architecture of neuronal circuits, which in turn determines their ability to process information, respond to external stimuli and generate behaviors. Understanding how neurons wire and interact is essential for uncovering the principles of neural computation. Recent imaging techniques enable in vivo observation of live animal brain and approximate recovery of neural signals, raising the question: Can these signals be used to infer neuronal connectivity?  Since 1970s, cross-correlations (CCGs) have been used as a heuristic to infer synaptic connectivity by identifying a narrow peak at a lag of few milliseconds (Perkel et al., 1967). Leveraging this feature, Endo et al. (2021) proposed CoNNECT, applying a convolutional neural network (CNN) to CCG to infer connectivity, achieving superior performance in simulated data. While effective, plain CCG is limited by various inherent constraints in the signal including bursty activity, periodic firing, and slow transient background contributions. To address these limitations, we propose an enhanced preprocessing pipeline that refines the CCG by removing side lobes caused by intrinsic spiking patterns and disentangling slow background fluctuations, which could further improve upon CoNNECT’s performance. This approach could potentially provide insights into understanding the underlying mechanisms driving CNN performance. A detailed analysis of the feature maps and learned representations within the CNN layers could reveal how the model prioritizes key features from engineered CCG. Our investigation is based on a detailed neuronal simulation that accurately models neuronal networks, providing signals to assess an inference approach.","Xiaoqian Sun, Rahul Simha, Chen Zheng, Hui Lu (The George Washington University)",#StudentResearchShorts,Research Shorts,3,TRUE
21,BUILDING TRUST AND TRANSPARENCY FOR GOVERNMENT CLOUD ADOPTION: A DATA SECURITY POSTURE MANAGEMENT (DSPM) PERSPECTIVE,Accepted,,2,3 3,"Government agencies are increasingly migrating to the cloud for scalability, cost-efficiency, and innovation. However, data security and transparency concerns, especially within evolving frameworks like Trusted Internet Connections (TIC) 3.0, hinder broader adoption. This dissertation examines the role of Data Security Posture Management (DSPM) in fostering trust and transparency for government cloud adoption under TIC 3.0. The research explores current cloud security challenges faced by government agencies and analyzes DSPM capabilities in addressing them. A framework for implementing DSPM, aligned with TIC 3.0 principles, is developed to enhance trust and transparency. A mixed-methods approach combines a systematic literature review with empirical data gathered through surveys and semi-structured interviews with government agencies implementing cloud solutions. Findings contribute to understanding critical success factors for secure government cloud adoption within TIC 3.0 and offer practical guidance for policymakers and practitioners. The study reveals that strategically implemented DSPM, integrated with existing security frameworks and considering TIC 3.0 guidelines, significantly improves data visibility, control, and remediation, fostering stakeholder trust and transparency. The research emphasizes the importance of addressing organizational and cultural factors for effective DSPM implementation within TIC 3.0. Key areas where DSPM directly supports TIC 3.0 objectives, such as zero trust implementation and continuous monitoring, are also identified.",Daniel Twum Gyamrah (Marymount University),#StudentResearchShorts,Research Shorts,3,TRUE
25,Mitigating In-Transit Vision Noise for Enhanced Vehicle Safety,Accepted,Primary,2,3 3,"Software-defined vehicles (SDVs) rely heavily on cameras for intelligent and safety-critical applications but face challenges from dynamic environmental noise, including weather and occlusions. Unlike static sensors, SDV cameras encounter noise patterns influenced by driving speed, a factor often overlooked in prior research. To address this, we analyze in-transit noise impacts using data from public datasets, the CARLA simulator, a robotic vehicle, and a real vehicle. Our findings suggest that maintaining a speed below 40km/h may serve as a threshold for ensuring reliable camera-based applications under noisy urban conditions. In addition, we propose TransitNet, a novel model to mitigate in-transit camera noise, particularly at high driving speeds. It outperforms baselines, improving the F-measure by 5.1%, mAP@50 by 3.6%, and increases FPS by 56.7% across all datasets. We also provide detailed observations and insights from extensive testing.","Yichen Luo, Junzhou Chen, Xinyu Chen, Sidi Lu (William & Mary)",#StudentResearchShorts,Research Shorts,3,TRUE
29,Leveraging Memory Forensics Techniques to detect Python-based Malware,Accepted,,2,3 3,"This research addresses a critical gap in memory forensics by developing tools for analyzing Python-based malware that operates in userland memory. While memory forensics capabilities exist for other runtime environments, Python analysis remains unexplored despite its growing use in malware development. The study introduces Volatility 3 plugins that leverage the mechanisms of  Python interpreter, such as memory management, garbage collection, and thread execution. These plugins extract critical forensic artifacts from memory, including malicious classes, modules, functions, and execution traces. When tested against cryptocurrency hijackers, ransomware, and RATs,  our analysis capabilities successfully identified malicious wallet addresses, recovered encryption keys,  detected remote function execution, and mapped malware execution paths. This automated analysis approach allows investigators with all experience levels to efficiently analyze and detect Python-based malware.",Hala Ali (Virginia Commonwealth University),#StudentResearchShorts,Research Shorts,3,FALSE
33,Web-based PDC Educational Video Games,Accepted,,2,3 3,"Parallel and distributed computing (PDC) use has been rising through-out most areas of industry. The demand for graduates that are skilled in PDC is naturally increasing. However, changes to the curricula for university computer science (CS) degrees have not kept pace with this new demand. Not only does the curriculum need to change to include more instruction in PDC, but it needs to include PDC concepts earlier in the curricula. Thus far the inclusion of PDC in introductory CS courses has been adopted by less than 15% of universities according to an informal review of course catalogs for US university CS degrees. The incorporation has been slow because there are real and perceived difficulties in teaching PDC concepts, particularly early in CS courses. To promote PDC inclusion in introductory courses, there is a need to produce educational materials that address these difficulties. The previously reported Parallel Islands, is a web-based educational video game tool designed for that purpose. Repetition of concepts, particularly using different methods, aids in understanding and retention of those concepts. Therefore Parallel Islands was designed to allow the use of additional mini-games within the overarching gameplay of Parallel Islands itself. One such game was developed to be able to be used in conjunction with Parallel Islands or as a stand alone web-based game, Knight and Dragon.","Melissa Cameron, Siddhi Kasera (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
34,Examining Visual Attention in Gaze-Driven VR Learning: An Eye-Tracking Study,Accepted,,2,3 3,"Virtual Reality/Augmented Reality (VR/AR) is a valuable tool for learning and training environments, offering unique characteristics such as immersion, a sense of presence, and the ability to simulate environments that are otherwise inaccessible or dangerous in real life. One promising feature of VR is gaze-driven context rendering, which dynamically presents virtual objects or information within the user's field of view (FOV) based on their gaze direction. This capability has the potential to enhance learning experiences by increasing interaction and adapting the learning environment to the user's attention. Understanding users' visual scanning behavior and focus in a gaze-driven VR environment can help improve their engagement. Eye tracking measures provide insightful cues to human visual search behavior, allowing for an understanding of how users interact with the VR space. In this study, we present an eye-tracking user study for analyzing visual attention in a gaze-driven VR learning environment using a consumer-grade Meta Quest Pro VR headset. Eye tracking data were captured through the headset's built-in eye tracker. We then generated basic and advanced eye-tracking measures—such as fixation duration, saccade amplitude, and the ambient/focal attention coefficient $\mathcal{K}$—as indicators of visual attention within the VR setting. The generated gaze data are visualized in an advanced gaze analytics dashboard, enabling us to assess users' gaze behaviors and attention during interactive VR learning tasks. This study contributes by proposing a novel approach for integrating advanced eye-tracking technology into VR learning environments, specifically utilizing consumer-grade head-mounted displays.","Yasasi Abeysinghe (Old Dominion University); Kevin Cauchi (St. John’s University); Vikas Ashok, Sampath Jayarathna (Old Dominion University)",#StudentResearchShorts,Research Shorts,3,TRUE
35,A Hierarchical Deep Reinforcement Learning Chatbot for Cybergrooming Prevention,Accepted,,2,3 3,"Cybergrooming presents a growing risk to young internet users, necessitating proactive, AI-driven intervention strategies. This work introduces an adaptive chatbot designed to enhance teenagers' resilience against cyber-grooming through dynamic, human-like interactions tailored to varying vulnerability levels. The chatbot integrates a large language model with hierarchical deep reinforcement learning to model flexible transitions across six cyber-grooming stages, incorporating both reward- and context-based transitions. The large language model, fine-tuned on the stage-tagged PJ dataset, ensures realistic conversational output aligned with actual chat dynamics.  The decision-making process follows a hierarchical structure: a master policy determines the current stage based on contextual cues, while six sub-policies optimize conversational strategies tailored to the goals of each stage and the detected sentiment of the user. This approach allows the chatbot to dynamically navigate between stages, creating natural and contextually appropriate interactions. To ensure fluency, safety, and relevance before deployment in educational settings, the chatbot’s performance will be evaluated through simulated interactions with another large language model. This evaluation will help identify potential risks, refine responses, and address ethical concerns before real-user implementation. Ultimately, this research provides an AI-driven, interactive learning tool for enhancing online safety education and preventing cybergrooming.","Heajun An, Qi Zhang, Arav Singh, Jin-Hee Cho (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
37,Increasing Digital Literacy Amongst Older Adults,Accepted,,2,3 3,"Many older adults struggle with low levels of digital literacy and few resources to consult. Due to this, it is common for them to lack the ability to fluently communicate online, take part in growing digital markets, and utilize appropriate safety measures while online. This research project outlines a survey that is designed to determine the biggest obstacles that they face while using technology, and the best strategies used to improve understanding. The surveys were administered to a sample population at a local senior living facility; participants read a brief description of 10 basic functions to complete on a cell phone. Referencing their personal experiences, they rated each task based on the level of difficulty, wrote a short description of why the task was rated that way, and described how it can be made easier. To analyze the trending problems/techniques through survey responses, the data from the experiment was interpreted using a chi-squared test and integrated into an Excel spreadsheet. After highlighting prominent concerns and challenges, the design goal is to create an app with an easy-to-navigate user interface that incorporates the most beneficial learning techniques and provides comprehensible descriptions of the most challenging tasks conducted on a cellular phone. Following the proposed success of the design goal, the app will be useful in continuing to advance the knowledge and understanding of older adults' struggles whilst using technology and will be an effective way to decrease the divide amongst age groups in digital literacy.",Isabella Divietro (The Governor's School for Science and Technology),#StudentResearchShorts,Research Shorts,3,TRUE
39,Assessing Public Perception of AI-Generated Social Media Content of the 2024 U.S. Presidential Debate,Accepted,,2,3 3,"With the growing accessibility of large language models, AI-generated content is expected to become increasingly common in online political discourse, raising an important question: can social media users reliably differentiate between human- and AI-authored posts? In this study, we explore perceptions of AI-generated content discussing the 2024 U.S. presidential debate. We generate synthetic posts using OpenAI’s GPT-4o with structured prompt engineering, incorporating five politically diverse personas to capture a range of ideological perspectives. Selecting real posts via hashtags (for X posts) and comments on related videos (for YouTube comments), we generate a set of 7,500 pairwise comparisons of human-authored and AI-generated posts that were labeled by 504 paid annotators on Connect. We then apply the Bradley-Terry statistical model, to rank and assign a perceived humanness score to the posts, and linguistic and sentiment-based models, such as VADER, TweetEval, TweetBERT, and PoliBERT, to uncover textual features that influence perceptions of authorship. Our findings reveal that while users could often identify AI-generated content, their accuracy varied by platform (posts on X were more frequently correctly identified than those on YouTube), and sentiment was a discriminating feature (content with positive sentiment/optimism was more often labeled as AI-generated and content with negative sentiment/offensive language were more often labeled as human-authored). By identifying key factors shaping public perception of AI-generated content (e.g., emotional tone, linguistic markers, and variance in online platforms), this study offers valuable insights into the evolving challenges of generated content in political communication.","Rebecca Ansell, Prof. Leticia Bode, Dr. Sejin Paik, Prof. Lisa Singh, Autumn Toney-Wails, Dr. Tiago Ventura (Georgetown University)",#StudentResearchShorts,Research Shorts,3,TRUE
40,Strategic Questioning and Enhanced Engagement: Developing a Counselor Chatbot Using LLMs and Deep Reinforcement Learning for Deeper Self-Exploration and Therapeutic Dialogue,Accepted,,2,3 3,"In the evolving landscape of mental health services, accessible and personalized psychological support is paramount. This paper introduces a specialized chatbot designed to function as a virtual counselor using a large language model (LLM) to bridge the gap between the demand for mental health services and the limitations of the current infrastructure. Key to our approach is the customization of the chatbot to individual users' personalities, domestic situations, and backgrounds, ensuring a tailored therapeutic interaction. The chatbot facilitates strategic questioning that enhances self-exploration and therapeutic dialogue by employing deep reinforcement learning to prompt the LLM and principles from counseling psychology. This personalization allows the chatbot to create a supportive and interactive environment that encourages clients to engage more deeply, providing a private, cost-effective, and accessible preliminary support tool that reduces the strain on human counselors and enriches the mental health infrastructure.","Qi Zhang, Heajun An, Arav Singh, Jin-Hee Cho (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
43,Who Gets In? The Role of AI in Shaping the Next Generation of Computer Scientists,Accepted,,2,3 3,"The number of graduate students has been increasing rapidly to meet industry demands, with over 200% increase in competitive fields like computer science (CS) in the past decade. Universities have adopted AI in their admissions processes for various tasks like evaluating transcripts, extracting critical information from essays, and scoring applications. With the minimal change in the composition of CS graduates over the past decade and the recent ban on affirmative action, AI-based admissions may further exacerbate bias. In this work, we present the tradeoffs of leveraging AI to increase admissions efficiency with its potential risks to diversity. We study three research questions to assess the effect of the affirmative action ban on admissions, identify the independent features that contribute to bias and examine the potential intersectional attributes that could induce bias in a model. We propose a framework to systematically detect bias that may be inferred by a machine learning model using methods like exploratory data analysis, clustering, subgroup discovery, and feature importance. By implementing our proposed framework on a dataset of applications to two graduate CS programs from 2014 to 2024, we investigate the research questions and demonstrate how universities may tackle the challenges of using AI for admissions. Our work introduces a framework to discover inferred biases before applying machine learning models for admissions, provides evidence that demographic features can induce bias in AI-based admissions automation and highlights the importance of bias detection to foster diversity in graduate CS education. ","Ananya Prakash, Mohammed Seyam (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
44,Data Collection Pipeline to Diversify AI Training Data,Accepted,,2,3 3,"Artificial intelligence (AI) vision-language models have improved rapidly in recent years. However, these improvements have not mitigated all biases. AI vision-language models are commonly trained on data from the internet. In turn, these models develop a perspective from predominantly Western countries such as the United States, Germany, Japan, etc. As a result, AI vision-language models perform poorly in image classification and image generation for non-Western perspectives. These models demonstrate low classification accuracy and generate images that reflect underdevelopment and impoverishment unaligned with the attitudes of the community being portrayed. As AI vision-language models will continue to expand and be used throughout the world, it is imperative to narrow the already present digital divide between Western and non-Western countries. Collecting and annotating data globally is an expensive and time-consuming process. In this project, we propose an alternative solution and examine the feasibility of a data collection pipeline to assist with the diversification of AI vision-language models' training data. In collaboration with a university service trip, we trained participants on ethical data collection. We then asked participants to submit images of spaces or objects of the visiting community through a webserver form linked to a WhatsApp community. The images will be gathered and assembled into a public online dataset. This dataset will be made available for developers to supplement their own datasets to make their models more adaptable to underrepresented cultures. In the future, we will employ WhatsApp to allow community members to have data autonomy and submit their own images.","Victoria Wiegand, Sarah Cooney (Villanova University)",#StudentResearchShorts,Research Shorts,3,TRUE
47,Driver Facial Expression Classification: A Comparative Study of Computer Vision Techniques,Accepted,,2,3 3,"Driving is an essential part of daily life, and technologies such as Advanced Driver Assistance Systems (ADAS) may incorporate driver state detection in the future, as road safety is influenced by various driver states. More than 80\% of the drivers in the US reported that they feel safer with ADAS. Future intelligent driver assistance systems will likely integrate ADAS with Natural User Interfaces and Affective Computing using computer vision techniques. In this project, we investigate how many images state-of-the-art machine learning models require to effectively classify three key emotions that human drivers can express while they are manually driving: happy, angry, and neutral facial expressions. Our evaluation compares EfficientNet, Vision Transformer, and CNN-based models on the Multiple Light Intensities Driver Emotion Recognition dataset. Results show that EfficientNet, with only 4M parameters, achieves 96\% accuracy when trained on more than 1,000 images, making it the most efficient model due to its faster training time. In contrast, we find that Vision Transformer, despite having 86M parameters, reaches 87\% accuracy with just 600 images after fine-tuning. Additionally, a comparison of our custom CNN-based models (9M parameters) against a baseline (3M parameters) reveals that architectural design primarily influences performance rather than the number of parameters. These findings underscore two key machine learning principles: the critical role of dataset distribution and the importance of data quality.","Yeana Lee Bond, Syed Talal Hasan, Muhammad Hamza, Mughees Ur Rehman (Virginia Polytechnic Institute and State University)",#StudentResearchShorts,Research Shorts,3,TRUE
48,Advanced Gaze Measures for Analyzing Joint Visual Attention,Accepted,,2,3 3,"Joint visual attention (JVA) is a crucial element of effective collaboration that indicates how participants synchronize their focus, cognitive engagement, and physical actions during shared tasks. This study explored JVA between dyads leveraging egocentric data combined with eye-tracking technology. While conventional measures of JVA rely on overlapping gaze points and gaze-following behavior, advanced gaze measures remain unexplored with the potential for a deeper understanding of the phenomenon. We conducted experiments using a wearable eye-tracking device with multimodal data collection, capturing gaze data and conversational exchanges. This setup enabled us to analyze how participants coordinated their visual attention while engaging in a screen-based collaborative visual search activity. We analyzed the dynamics of ambient/focal attention with coefficient K as a metric to understand the attention alignment beyond simple gaze overlap. By integrating this measure, we could discern detailed patterns in attention behavior, revealing how individuals dynamically shift their attention in response to their partner's actions and verbal cues. Our findings suggest that users who maintained similar attention behaviors (ambient/focal) over time exhibited more frequent and sustained moments of joint attention compared to those with differing attention behaviors. The study highlights the potential of advanced gaze measures for evaluating attention processes in dyadic interactions and it offers valuable insights for applications in human-computer interaction, education, and teamwork analysis. Future work will further refine the methodology and explore the integration of machine learning techniques to automatically identify and classify different patterns of ambient and focal attention during collaborative tasks.","Kumushini Thennakoon, Yasasi Abeysinghe, Bhanuka Mahanama, Rochana R. Obadage, Vikas Ashok, Sampath Jayarathna (Old Dominion University)",#StudentResearchShorts,Research Shorts,3,TRUE
49,Evaluating Children's Ability to Distinguish Between Traditional and AI-Generated Media,Accepted,,2,3 3,"Evaluating Children's Ability to Distinguish Between Traditional and AI-Generated Media  Background: The rapid integration of artificial intelligence (AI) in media production has led to an influx of AI-generated content in children's daily consumption. This shift raises critical questions about children's cognitive ability to discern between traditional (human-generated) and AI-generated media. Limited research exists on how these media forms impact children's perception, comprehension, and decision-making processes.  Objective: This study aims to evaluate children's capacity to differentiate between traditional and AI-generated content across various media types, including stories, images, and songs. The key objectives include assessing recognition accuracy, confidence levels, and reaction times, alongside understanding the developmental implications of media differentiation.  Methodology: We have collected a curated set of real and AI-generated stories, images, and songs. This dataset will serve as the foundation for future analyses to measure children's ability to identify the content's origin. The next phase will involve designing questionnaire-based surveys to assess recognition skills, confidence, and reaction times. The collected data will enable us to develop tailored survey tools and experimental protocols.  Preliminary Insights: The data collection process has highlighted variations in media characteristics that may influence children's recognition abilities. These insights will guide the development of future assessment tools and experimental designs to evaluate children's capacity to differentiate between AI-generated and traditional media.  Significance: This research contributes to understanding how AI-generated content affects children's media literacy. The outcomes have potential implications for educational curricula, content creation guidelines, and regulatory policies aimed at enhancing children's critical thinking and safeguarding against media manipulation in the digital age.  Keywords: AI-generated media, traditional media, media literacy, cognitive development, children, media differentiation","Sanjna Kumari, Faraz Ulhaq Shah, Sehrish Basir Nizamani (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
51,SCVI: Bridging Social and Cyber Dimensions for Comprehensive Vulnerability Assessment,Accepted,,2,3 3,"The rise of cyber threats on social media platforms neces- sitates advanced metrics to assess and mitigate social cyber vulnerabilities. This paper presents the Social Cyber Vulnera- bility Index (SCVI), a novel framework integrating individual- level factors (e.g., awareness, behavioral traits, psychological attributes) and attack-level characteristics (e.g., frequency, consequence, sophistication) for comprehensive socio-cyber vulnerability assessment. SCVI is validated using survey data (iPoll) and textual data (Reddit scam reports), demonstrating adaptability across modalities while revealing demographic disparities and regional vulnerabilities. Comparative analyses with the Common Vulnerability Scoring System (CVSS) and the Social Vulnerability Index (SVI) show SCVI’s superior ability to capture nuanced socio-technical risks. Monte Carlo- based weight variability analysis confirms SCVI’s robustness and highlights its utility in identifying high-risk groups. By addressing gaps in traditional metrics, SCVI offers action- able insights for policymakers and practitioners, advancing inclusive strategies to mitigate emerging threats such as AI- powered phishing and deepfake scams.","Shutonu Mitra (Virginia Tech); Thomas Nguyen (Department of Computer Science, Virginia Tech); Qi Zhang (Virginia Tech); Hyungmin Kim (Department of Computer Science, Virginia Tech); Hossein Salemi (Department of Information Sciences and Technology, George Mason University); Chen-Wei Chang (None); Fengxiu Zhang (School of Policy and Government, George Mason University); Michin Hong (School of Social Work, Indiana University); Chang-Tien Lu (Department of Computer Science, Virginia Tech); Hemant Purohit (George Mason University); Jin-Hee Cho (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
52,DBWorkout: A Collaborative and Gamified Web-Based Platform for SQL Learning,Accepted,,2,3 3,"SQL education in traditional classroom settings often lacks engagement, immediate feedback, and interactive collaboration, making it challenging for students to develop a deep understanding of database concepts. To address these limitations, DBWorkout, a web-based interactive SQL learning platform, integrates real-time collaboration, automated feedback, and gamified engagement to enhance the learning experience. This research presents the development and evaluation of DBWorkout, designed to improve SQL mastery through hands-on practice and competitive challenges.  DBWorkout features an SQL editor that allows students to write and execute SQL queries while receiving instant, actionable feedback. It incorporates WebSocket-based collaboration, enabling students to work together dynamically. Gamification elements, including leaderboards and achievement badges, enhance engagement and motivation. Students earn points based on query accuracy and participation in collaborative activities, fostering a competitive yet educational environment.  The platform’s cloud-based infrastructure ensures scalability and real-time collaboration. For security, JWT authentication is implemented to ensure secure access and compliance with institutional policies.  For instructors, DBWorkout provides an analytics dashboard offering insights into student performance and learning trends. Instructors can create and manage SQL assignments, streamlining classroom workflows and reducing the logistical burden of setting up individual database environments.  By integrating real-time collaboration, gamification, and automated feedback, DBWorkout modernizes SQL education, enhancing student comprehension and retention. This research contributes to the development of technology-enhanced learning environments that equip students with industry-relevant SQL skills in an engaging and interactive manner.","Snehitha Ravella, Ashutosh reddy Pochamreddy, Janice Wang, Qiuya Chen, Sehrish Nizamani, Sally Hamouda, Saad Nizamani (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
